Hop,Expected,Computed,Absolute Error
0,64.0,64.0,0.0
1,68.0,68.0,0.0
2,72.0,72.0,0.0
3,73.0,73.0,0.0
4,79.0,79.0,0.0
5,80.0,80.0,0.0
6,85.0,85.0,0.0
7,90.0,90.0,0.0
8,93.0,93.0,0.0
9,99.0,99.0,0.0
10,100.0,100.0,0.0
11,101.0,101.0,0.0
12,109.0,109.0,0.0
13,113.0,113.0,0.0
14,115.0,115.0,0.0
15,120.0,120.0,0.0
16,127.0,127.0,0.0
17,129.0,129.0,0.0
18,135.0,135.0,0.0
19,136.0,136.0,0.0
20,137.0,137.0,0.0
21,142.0,142.0,0.0
22,147.0,147.0,0.0
23,153.0,153.0,0.0
24,160.0,160.0,0.0
25,169.0,169.0,0.0
26,174.0,174.0,0.0
27,177.0,177.0,0.0
28,185.0,185.0,0.0
29,188.0,188.0,0.0
