Hop,Expected,Computed,Absolute Error
0,45.0,45.0,0.0
1,54.0,54.0,0.0
2,63.0,63.0,0.0
3,71.0,71.0,0.0
4,74.0,74.0,0.0
5,75.0,75.0,0.0
6,82.0,82.0,0.0
7,86.0,86.0,0.0
8,88.0,88.0,0.0
9,93.0,93.0,0.0
10,94.0,94.0,0.0
11,103.0,103.0,0.0
12,106.0,106.0,0.0
13,112.0,112.0,0.0
14,115.0,115.0,0.0
15,120.0,120.0,0.0
16,125.0,125.0,0.0
17,127.0,127.0,0.0
18,136.0,136.0,0.0
19,143.0,143.0,0.0
20,152.0,152.0,0.0
21,161.0,161.0,0.0
22,167.0,167.0,0.0
23,176.0,176.0,0.0
24,177.0,177.0,0.0
25,179.0,179.0,0.0
26,180.0,180.0,0.0
27,183.0,183.0,0.0
28,187.0,187.0,0.0
29,190.0,190.0,0.0
