Hop,Expected,Computed,Absolute Error
0,60.0,60.0,0.0
1,63.0,63.0,0.0
2,68.0,68.0,0.0
3,70.0,70.0,0.0
4,78.0,78.0,0.0
5,79.0,79.0,0.0
6,88.0,88.0,0.0
7,95.0,95.0,0.0
8,97.0,97.0,0.0
9,98.0,98.0,0.0
10,106.0,106.0,0.0
11,113.0,113.0,0.0
12,120.0,120.0,0.0
13,127.0,127.0,0.0
14,128.0,128.0,0.0
15,132.0,132.0,0.0
16,134.0,134.0,0.0
17,142.0,142.0,0.0
18,148.0,148.0,0.0
19,151.0,151.0,0.0
20,152.0,152.0,0.0
21,155.0,155.0,0.0
22,158.0,158.0,0.0
23,165.0,165.0,0.0
24,171.0,171.0,0.0
25,179.0,179.0,0.0
26,184.0,184.0,0.0
27,186.0,186.0,0.0
28,193.0,193.0,0.0
29,200.0,200.0,0.0
