Hop,Expected,Computed,Absolute Error
0,49.40267334847514,49.40267335028853,1.8133903267880669e-09
1,57.76480624177758,57.764806244780345,3.0027678121768986e-09
2,66.51138149108466,66.51138149456028,3.47561979197053e-09
3,67.57395066586538,67.57395066869378,2.82840062482137e-09
4,73.17067638906347,73.17067639141177,2.3483011091229855e-09
5,77.92737541740249,77.92737542076858,3.3660967346804682e-09
6,80.92634571163906,80.92634571200114,3.6207836728863185e-10
7,83.0051340176422,83.00513401927446,1.6322587725881021e-09
8,87.04367056027486,87.04367056038356,1.0869882771658013e-10
9,96.52985789548754,96.52985789477755,7.099885124262073e-10
10,100.43868428367433,100.43868428280254,8.717933042134973e-10
11,106.10779987936463,106.10779988091008,1.5454446611329331e-09
12,113.43497050942123,113.43497050950157,8.033396170503693e-11
13,117.70763693083488,117.70763693071777,1.171116537079797e-10
14,127.45367567532352,127.45367567789398,2.5704594008857384e-09
15,137.11570132980253,137.11570133070637,9.038387815962778e-10
16,140.38174199223081,140.3817419937368,1.5059811175888171e-09
17,145.85697854526228,145.85697854264774,2.614541472212295e-09
18,149.5648833336132,149.56488332919974,4.413465148900286e-09
19,153.12844778301042,153.12844777924374,3.766672307392582e-09
20,154.4604303092012,154.46043030596064,3.2405580441263737e-09
21,160.94650931502028,160.94650931034258,4.677701781474752e-09
22,166.47062052408003,166.4706205205613,3.5187213143217377e-09
23,167.93392928532992,167.933929283257,2.0729373773065163e-09
24,171.44174746345942,171.44174746318072,2.787032826745417e-10
25,180.61614043715932,180.61614043452232,2.6369946226623142e-09
26,183.77219745316208,183.77219744988065,3.2814284622872947e-09
27,186.0762513019831,186.07625130039395,1.5891430393821793e-09
28,191.48132614448116,191.4813261416357,2.8454678613343276e-09
29,201.35218023147655,201.352180226525,4.951544951836695e-09
