Operation,Expected,Computed,Absolute Error
0,49.40267334847514,49.40267333946122,9.013923829570558e-09
1,57.76480624177758,57.76480623354395,8.233627113440889e-09
2,66.51138149108466,66.51138148362392,7.460741358045198e-09
3,67.57395066586538,67.5739506547895,1.1075883321609581e-08
4,73.17067638906347,73.17067638288464,6.178836997605686e-09
5,77.92737541740249,77.92737541561809,1.7844001831690548e-09
6,80.92634571163906,80.92634570770196,3.937103087992e-09
7,83.0051340176422,83.00513400899945,8.642757620691555e-09
8,87.04367056027486,87.0436705516947,8.58015880567109e-09
9,96.52985789548754,96.52985788422697,1.1260567589488346e-08
10,100.43868428367433,100.43868427348923,1.0185104315496574e-08
11,106.10779987936463,106.10779986691162,1.2453014619495661e-08
12,113.43497050942123,113.4349704969037,1.2517531899902679e-08
13,117.70763693083488,117.707636923118,7.716877803431998e-09
14,127.45367567532352,127.45367566990492,5.418598902906524e-09
15,137.11570132980253,137.1157013209929,8.809621476757457e-09
16,140.38174199223081,140.3817419856781,6.552710374307935e-09
17,145.85697854526228,145.85697853416482,1.1097455399067258e-08
18,149.5648833336132,149.56488332017418,1.3439034773909952e-08
19,153.12844778301042,153.12844777220786,1.0802551742017386e-08
20,154.4604303092012,154.46043029284812,1.6353084220099845e-08
21,160.94650931502028,160.94650929615028,1.8869997120418702e-08
22,166.47062052408003,166.4706205043869,1.9693146668942063e-08
23,167.93392928532992,167.93392926789363,1.7436292409911403e-08
24,171.44174746345942,171.44174744081022,2.2649203401670093e-08
25,180.61614043715932,180.61614041770298,1.9456336985967937e-08
26,183.77219745316208,183.77219743517412,1.7987957789955544e-08
27,186.0762513019831,186.07625127871745,2.3265641857506125e-08
28,191.48132614448116,191.48132611883324,2.564792112025316e-08
29,201.35218023147655,201.35218020716627,2.4310281787620625e-08
