Operation,Expected,Computed,Absolute Error
0,57.0,57.0,0.0
1,64.0,64.0,0.0
2,70.0,70.0,0.0
3,72.0,72.0,0.0
4,74.0,74.0,0.0
5,75.0,75.0,0.0
6,83.0,83.0,0.0
7,89.0,89.0,0.0
8,96.0,96.0,0.0
9,97.0,97.0,0.0
10,106.0,106.0,0.0
11,114.0,114.0,0.0
12,116.0,116.0,0.0
13,118.0,118.0,0.0
14,120.0,120.0,0.0
15,123.0,123.0,0.0
16,128.0,128.0,0.0
17,132.0,132.0,0.0
18,135.0,135.0,0.0
19,141.0,141.0,0.0
20,143.0,143.0,0.0
21,146.0,146.0,0.0
22,150.0,150.0,0.0
23,155.0,155.0,0.0
24,163.0,163.0,0.0
25,165.0,165.0,0.0
26,170.0,170.0,0.0
27,176.0,176.0,0.0
28,177.0,177.0,0.0
29,183.0,183.0,0.0
