Operation,Expected,Computed,Absolute Error
0,19.016830831339107,19.016830834190124,2.851017200100614e-09
1,17.220019434765202,17.220019437349798,2.5845956486136856e-09
2,19.942179028472978,19.942203661913393,2.4633440414589813e-05
3,19.425244061507325,19.42526805640844,2.3994901116708434e-05
4,20.509424423033757,20.50951515886885,9.073583509433547e-05
5,22.762597407181737,22.762761486144903,0.00016407896316650294
6,22.536401772767807,22.53656422125379,0.0001624484859839015
7,24.438555580073512,24.438845360776646,0.00028978070313456783
8,27.9664935316379,27.966900572399844,0.0004070407619423122
9,27.732135241099787,27.7325388708733,0.00040362977351193763
